lcsc,Assembly Type,Assembly Type Batch,Assembly Process,Min Order Qty,Attrition Qty,Special Component Fee,Component Library Type,Describe
17807,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17818,smtWeld,smtWeld,SMT,20,10,0.0,expand,-55℃~+155℃ 125mW 150V 750Ω Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS
17819,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17828,smtWeld,smtWeld,SMT,20,10,0.0,base,
17837,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17840,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17855,smtWeld,smtWeld,SMT,20,10,0.0,expand,
17887,smtWeld,smtWeld,SMT,15,4,0.0,base,
17888,smtWeld,smtWeld,SMT,15,10,0.0,base,
17900,smtWeld,smtWeld,SMT,15,4,0.0,base,
17901,smtWeld,smtWeld,SMT,15,10,0.0,base,
17902,smtWeld,smtWeld,SMT,15,10,0.0,base,
17903,smtWeld,smtWeld,SMT,15,10,0.0,base,
17909,smtWeld,smtWeld,SMT,15,10,0.0,base,
17924,smtWeld,smtWeld,SMT,15,10,0.0,expand,
17927,smtWeld,smtWeld,SMT,15,10,0.0,base,
17928,smtWeld,smtWeld,SMT,15,4,0.0,base,
17936,smtWeld,smtWeld,SMT,15,10,0.0,base,
17944,smtWeld,smtWeld,SMT,15,10,0.0,base,
17955,smtWeld,smtWeld,SMT,15,4,0.0,base,
17958,smtWeld,smtWeld,SMT,15,10,0.0,base,
17985,smtWeld,smtWeld,SMT,15,10,0.0,expand,
18229,smtWeld,smtWeld,SMT,1,0,0.0,expand,
18359,smtWeld,smtWeld,SMT,20,10,0.0,expand,
19666,smtWeld,smtWeld,SMT,20,10,0.0,base,
19702,smtWeld,smtWeld,SMT,20,10,0.0,base,
20197,smtWeld,smtWeld,SMT,1,2,0.0,base,
20526,smtWeld,smtWeld,SMT,10,5,0.0,base,
20638,smtWeld,smtWeld,SMT,20,10,0.0,expand,
20917,smtWeld,smtWeld,SMT,5,4,0.0,base,
21117,smtWeld,smtWeld,SMT,20,10,0.0,base,
21120,smtWeld,smtWeld,SMT,20,10,0.0,base,
21122,smtWeld,smtWeld,SMT,20,10,0.0,base,
21189,smtWeld,smtWeld,SMT,20,10,0.0,base,
21190,smtWeld,smtWeld,SMT,20,10,0.0,base,
21379,smtWeld,smtWeld,SMT,1,0,0.0,expand,
22107,smtWeld,smtWeld,SMT,15,4,0.0,expand,
22452,smtWeld,smtWeld,SMT,5,4,0.0,base,-55℃~+125℃ 1mA@40V 40V 550mV@5A 5A Independent SMA(DO-214AC) Schottky Diodes ROHS
22764,smtWeld,smtWeld,SMT,20,10,0.0,expand,
22765,smtWeld,smtWeld,SMT,20,10,0.0,base,
22775,smtWeld,smtWeld,SMT,20,10,0.0,base,
22787,smtWeld,smtWeld,SMT,20,10,0.0,base,
22790,smtWeld,smtWeld,SMT,20,10,0.0,base,
22795,smtWeld,smtWeld,SMT,20,10,0.0,expand,
22797,smtWeld,smtWeld,SMT,20,10,0.0,base,
22807,smtWeld,smtWeld,SMT,20,10,0.0,base,
22808,smtWeld,smtWeld,SMT,20,10,0.0,base,-55℃~+155℃ 100mW 150Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
22809,smtWeld,smtWeld,SMT,20,10,0.0,base,
22810,smtWeld,smtWeld,SMT,20,10,0.0,expand,
22813,smtWeld,smtWeld,SMT,20,10,0.0,expand,-55℃~+155℃ 100mW 160kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
22818,smtWeld,smtWeld,SMT,20,10,0.0,expand,
22827,smtWeld,smtWeld,SMT,20,10,0.0,expand,
22828,smtWeld,smtWeld,SMT,20,10,0.0,expand,-55℃~+155℃ 100mW 180Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
22843,smtWeld,smtWeld,SMT,20,10,0.0,base,
22859,smtWeld,smtWeld,SMT,20,10,0.0,base,
22935,smtWeld,smtWeld,SMT,20,10,0.0,base,
22936,smtWeld,smtWeld,SMT,20,10,0.0,base,
22938,smtWeld,smtWeld,SMT,20,10,0.0,expand,
22939,smtWeld,smtWeld,SMT,20,10,0.0,base,
22940,smtWeld,smtWeld,SMT,20,10,0.0,base,
22950,smtWeld,smtWeld,SMT,20,10,0.0,base,
22961,smtWeld,smtWeld,SMT,20,10,0.0,base,
22962,smtWeld,smtWeld,SMT,20,10,0.0,base,
22965,smtWeld,smtWeld,SMT,20,10,0.0,expand,
22966,smtWeld,smtWeld,SMT,20,10,0.0,base,
22967,smtWeld,smtWeld,SMT,20,10,0.0,base,
22975,smtWeld,smtWeld,SMT,20,10,0.0,base,
22976,smtWeld,smtWeld,SMT,20,10,0.0,base,
22977,smtWeld,smtWeld,SMT,20,10,0.0,base,
22978,smtWeld,smtWeld,SMT,20,10,0.0,base,
22980,smtWeld,smtWeld,SMT,20,10,0.0,base,
22984,smtWeld,smtWeld,SMT,20,10,0.0,base,
23018,smtWeld,smtWeld,SMT,20,10,0.0,base,
23024,smtWeld,smtWeld,SMT,20,10,0.0,base,
23025,smtWeld,smtWeld,SMT,20,10,0.0,base,
23046,smtWeld,smtWeld,SMT,20,10,0.0,base,-55℃~+155℃ 100mW 4.99kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
23137,smtWeld,smtWeld,SMT,20,10,0.0,base,
23138,smtWeld,smtWeld,SMT,20,10,0.0,base,
23140,smtWeld,smtWeld,SMT,20,10,0.0,base,
23146,smtWeld,smtWeld,SMT,20,10,0.0,expand,
23147,smtWeld,smtWeld,SMT,20,10,0.0,expand,
23150,smtWeld,smtWeld,SMT,20,10,0.0,expand,
23151,smtWeld,smtWeld,SMT,20,10,0.0,base,-55℃~+155℃ 100mW 390Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS
23153,smtWeld,smtWeld,SMT,20,10,0.0,base,
23156,smtWeld,smtWeld,SMT,20,10,0.0,expand,
23159,smtWeld,smtWeld,SMT,20,10,0.0,expand,
23162,smtWeld,smtWeld,SMT,20,10,0.0,base,
23163,smtWeld,smtWeld,SMT,20,10,0.0,expand,
23164,smtWeld,smtWeld,SMT,20,10,0.0,base,
23170,smtWeld,smtWeld,SMT,20,10,0.0,expand,
23172,smtWeld,smtWeld,SMT,20,10,0.0,expand,
23178,smtWeld,smtWeld,SMT,20,10,0.0,base,
23179,smtWeld,smtWeld,SMT,20,10,0.0,base,
23182,smtWeld,smtWeld,SMT,20,10,0.0,base,
23184,smtWeld,smtWeld,SMT,20,10,0.0,base,
23185,smtWeld,smtWeld,SMT,20,10,0.0,base,
23186,smtWeld,smtWeld,SMT,20,10,0.0,base,
23189,smtWeld,smtWeld,SMT,20,10,0.0,base,
23192,smtWeld,smtWeld,SMT,20,10,0.0,base,
